X,Y,FeatureID,DateCreate,TimeCreate,DateUpdate,TimeUpdate,DateDelete,TimeDelete,Latitude,Longitude,District,Block,Number,Name,Type,Severity,Notes,ODKID
248017.6349616,3575835.41275185,1,2016-12-14,09:06:00,,,,,32.29099167,36.32419333,10,5,85,D10-B5-H85,shelter,3,,5331166
248252.320666796,3576413.99092823,2,2016-12-14,09:09:00,,,,,32.29625833,36.32653,4,4,71,D4-B4-H71,shelter,4,,5331169
248443.042912704,3576124.78515619,3,2016-12-14,09:13:00,,,,,32.293695,36.32863,5,21,,Saudi School,facility,5,,5331171
248473.395118532,3576176.55335329,4,2016-12-14,09:17:00,,,,,32.29416833,36.32893833,5,22,2,D5-B22-H2,shelter,3,,5331173
248658.005655311,3576196.55197436,5,2016-12-14,09:22:00,,,,,32.29439,36.33089167,5,20,15,D5-B20-H15,shelter,4,,5331175
249524.156272986,3575935.14071103,6,2016-12-14,09:35:00,,,,,32.29222833,36.34015,7,13,62,D7-B13-H62,shelter,4,,5331176
248766.079643454,3575249.70644856,7,2016-12-14,09:36:00,2016-12-14,15:58:00,,,32.28588167,36.33228833,9,,,Jawad Street,paved_road,5,,5330603
249644.460116057,3576022.5940671,8,2016-12-14,09:39:00,,,,,32.29304333,36.34140333,7,18,16,D7-B18-H16,shelter,4,,5331179
248594.897893851,3575327.94642754,9,2016-12-14,09:45:00,,,,,32.28654833,36.33045167,9,,,Jawad Street,paved_road,3,,5330604
249293.320100907,3575388.62389561,10,2016-12-14,09:46:00,,,,,32.28725167,36.337845,8,5,56,D8-B5-H56,shelter,4,,5331182
249253.659937656,3575246.6449064,11,2016-12-14,09:48:00,,,,,32.28596333,36.33746167,8,10,,Local Shop,facility,4,,5331185
249107.489645342,3575105.09430596,12,2016-12-14,09:53:00,,,,,32.284655,36.33594833,8,15,38,D8-B15-H38,shelter,5,,5331187
248226.277677867,3575621.95395644,13,2016-12-14,10:00:00,,,,,32.289115,36.32646333,10,8,89,D10-B8-H89,shelter,5,,5331189
247834.259175225,3575349.50939727,14,2016-12-14,10:08:00,,,,,32.28657167,36.32237667,10,15,48,D10-B15-H48,shelter,4,,5331191
247605.872575943,3575615.25503738,15,2016-12-14,10:12:00,,,,,32.288915,36.31988333,11,11,3,D11-B11-H3,shelter,4,,5331193
247849.69064932,3575696.82662959,16,2016-12-14,10:16:00,,,,,32.289705,36.32244833,11,10,63,D11-B10-H63,shelter,4,,5331195
247196.377995185,3575906.62619704,17,2016-12-14,10:17:00,,,,,32.29144833,36.31546167,12,9,18,D12-B9-H18,shelter,3,,5330605
247921.829709177,3575616.23665249,18,2016-12-14,10:19:00,,,,,32.288995,36.323235,10,,,Alhadaeq Street,paved_road,4,,5331196
247184.609817856,3575875.84944945,19,2016-12-14,10:19:00,,,,,32.29116833,36.315345,12,10,54,D12-B10-H54,shelter,2,,5330606
247183.869112587,3575852.5643519,20,2016-12-14,10:21:00,,,,,32.29095833,36.31534333,12,10,53,D12-B10-H53,shelter,3,,5330607
247204.904555277,3575877.0056316,21,2016-12-14,10:22:00,,,,,32.29118333,36.31556,12,10,45,D12-B10-H45,shelter,3,,5330608
248223.774580284,3575760.91264137,22,2016-12-14,10:23:00,,,,,32.29036667,36.3264,10,5,6,D10-B5-H6,shelter,5,,5331198
247241.407752961,3575885.52378922,23,2016-12-14,10:24:00,,,,,32.29126833,36.315945,12,,,Al Sanout Street,paved_road,1,,5330609
247307.683653672,3575859.63615334,24,2016-12-14,10:28:00,,,,,32.29105,36.316655,11,,,Al Souq Street,paved_road,3,,5330610
248016.610698762,3575819.5320334,25,2016-12-14,10:28:00,,,,,32.29084833,36.32418667,10,,,Alhadaeq Street,paved_road,5,,5331200
247144.215824012,3576796.61764157,26,2016-12-14,10:36:00,,,,,32.29945667,36.31467167,2,2,199,D2-B2-H199,shelter,5,,5330611
248312.744386374,3576046.47202084,27,2016-12-14,10:45:00,,,,,32.29296,36.32726833,5,21,,Saudi School,facility,2,,5331202
247379.954560582,3576732.08253499,28,2016-12-14,10:45:00,,,,,32.29892833,36.31719,2,3,79,D2-B3-H79,shelter,4,,5330612
247353.999576119,3576787.10762296,29,2016-12-14,10:48:00,,,,,32.29941833,36.3169,2,2,107,D2-B2-H107,shelter,3,,5330613
247413.18611319,3576829.64405287,30,2016-12-14,10:52:00,,,,,32.299815,36.31751667,2,2,87,D2-B2-H87,shelter,4,,5330614
247406.588086249,3576829.62392215,31,2016-12-14,10:53:00,,,,,32.29981333,36.31744667,2,,,Al Dalya Street,paved_road,4,,5330615
247412.359912788,3576840.57639103,32,2016-12-14,10:54:00,,,,,32.29991333,36.317505,2,1,51,D2-B1-H51,shelter,3,,5330616
247445.5922291,3576787.58868751,33,2016-12-14,11:00:00,,,,,32.29944333,36.31787167,2,2,78,D2-B2-H78,shelter,2,,5330617
247525.819964679,3576760.79788888,34,2016-12-14,11:02:00,,,,,32.29922,36.31873,2,2,43,D2-B2-H43,shelter,3,,5330618
247513.491763196,3576757.77730879,35,2016-12-14,11:03:00,,,,,32.29919,36.3186,2,2,50,D2-B2-H50,shelter,3,,5330619
247523.799019128,3576793.02964883,36,2016-12-14,11:04:00,,,,,32.29951,36.3187,2,2,49,D2-B2-H49,shelter,4,,5330620
247533.79932787,3576778.35335268,37,2016-12-14,11:05:00,,,,,32.29938,36.31881,2,2,44,D2-B2-H44,shelter,2,,5330621
