BLOCK_CODE,NAME_EN,NAME_AR,BLOCK_NUM,NGO_OPERAT,DISTRICT
B-01-01,Block 1,حارة 1,1,ACTED,1
B-01-02,Block 2,حارة 2,2,ACTED,1
B-01-03,Block 3,حارة 3,3,ACTED,1
B-01-04,Block 4,حارة 4,4,ACTED,1
B-01-05,Block 5,حارة 5,5,ACTED,1
B-01-06,Block 6,حارة 6,6,ACTED,1
B-01-07,Block 7,حارة 7,7,ACTED,1
B-01-08,Block 8,حارة 8,8,ACTED,1
B-01-09,Block 9,حارة 9,9,ACTED,1
B-01-10,Block 10,حارة 10,10,ACTED,1
B-10-01,Block 1,حارة 1,1,ACTED,10
B-10-02,Block 2,حارة 2,2,ACTED,10
B-10-03,Block 3,حارة 3,3,ACTED,10
B-10-04,Block 4,حارة 4,4,ACTED,10
B-10-05,Block 5,حارة 5,5,ACTED,10
B-10-06,Block 6,حارة 6,6,ACTED,10
B-10-07,Block 7,حارة 7,7,ACTED,10
B-10-08,Block 8,حارة 8,8,ACTED,10
B-10-09,Block 9,حارة 9,9,ACTED,10
B-10-10,Block 10,حارة 10,10,ACTED,10
B-10-11,Block 11,حارة 11,11,ACTED,10
B-10-12,Block 12,حارة 12,12,ACTED,10
B-10-13,Block 13,حارة 13,13,ACTED,10
B-10-14,Block 14,حارة 14,14,ACTED,10
B-10-15,Block 15,حارة 15,15,ACTED,10
B-10-16,Block 16,حارة 16,16,ACTED,10
B-02-01,Block 1,حارة 1,1,ACTED,2
B-02-02,Block 2,حارة 2,2,ACTED,2
B-02-03,Block 3,حارة 3,3,ACTED,2
B-02-04,Block 4,حارة 4,4,ACTED,2
B-02-05,Block 5,حارة 5,5,ACTED,2
B-02-06,Block 6,حارة 6,6,ACTED,2
B-02-07,Block 7,حارة 7,7,ACTED,2
B-02-08,Block 8,حارة 8,8,ACTED,2
B-02-09,Block 9,حارة 9,9,ACTED,2
B-02-10,Block 10,حارة 10,10,ACTED,2
B-12-01,Block 1,حارة 1,1,ACTED,12
B-12-02,Block 2,حارة 2,2,ACTED,12
B-12-03,Block 3,حارة 3,3,ACTED,12
B-12-04,Block 4,حارة 4,4,ACTED,12
B-12-05,Block 5,حارة 5,5,ACTED,12
B-12-06,Block 6,حارة 6,6,ACTED,12
B-12-07,Block 7,حارة 7,7,ACTED,12
B-12-08,Block 8,حارة 8,8,ACTED,12
B-12-09,Block 9,حارة 9,9,ACTED,12
B-12-10,Block 10,حارة 10,10,ACTED,12
B-08-01,Block 1,حارة 1,1,Oxfam,8
B-08-02,Block 2,حارة 2,2,Oxfam,8
B-08-03,Block 3,حارة 3,3,Oxfam,8
B-08-04,Block 4,حارة 4,4,Oxfam,8
B-08-05,Block 5,حارة 5,5,Oxfam,8
B-08-06,Block 6,حارة 6,6,Oxfam,8
B-08-07,Block 7,حارة 7,7,Oxfam,8
B-08-08,Block 8,حارة 8,8,Oxfam,8
B-08-09,Block 9,حارة 9,9,Oxfam,8
B-08-10,Block 10,حارة 10,10,Oxfam,8
B-08-11,Block 11,حارة 11,11,Oxfam,8
B-08-12,Block 12,حارة 12,12,Oxfam,8
B-08-13,Block 13,حارة 13,13,Oxfam,8
B-08-14,Block 14,حارة 14,14,Oxfam,8
B-08-15,Block 15,حارة 15,15,Oxfam,8
B-08-16,Block 16,حارة 16,16,Oxfam,8
B-08-17,Block 17,حارة 17,17,Oxfam,8
B-08-18,Block 18,حارة 18,18,Oxfam,8
B-08-19,Block 19,حارة 19,19,Oxfam,8
B-08-20,Block 20,حارة 20,20,Oxfam,8
B-08-21,Block 21,حارة 21,21,Oxfam,8
B-08-22,Block 22,حارة 22,22,Oxfam,8
B-08-24,Block 24,حارة 24,24,Oxfam,8
B-08-23,Block 23,حارة 23,23,Oxfam,8
B-05-01,Block 1,حارة 1,1,JEN,5
B-05-02,Block 2,حارة 2,2,JEN,5
B-05-03,Block 3,حارة 3,3,JEN,5
B-05-04,Block 4,حارة 4,4,JEN,5
B-05-05,Block 5,حارة 5,5,JEN,5
B-05-06,Block 6,حارة 6,6,JEN,5
B-05-07,Block 7,حارة 7,7,JEN,5
B-05-08,Block 8,حارة 8,8,JEN,5
B-05-09,Block 9,حارة 9,9,JEN,5
B-05-10,Block 10,حارة 10,10,JEN,5
B-05-11,Block 11,حارة 11,11,JEN,5
B-05-12,Block 12,حارة 12,12,JEN,5
B-05-13,Block 13,حارة 13,13,JEN,5
B-05-14,Block 14,حارة 14,14,JEN,5
B-05-15,Block 15,حارة 15,15,JEN,5
B-05-16,Block 16,حارة 16,16,JEN,5
B-05-17,Block 17,حارة 17,17,JEN,5
B-05-18,Block 18,حارة 18,18,JEN,5
B-05-19,Block 19,حارة 19,19,JEN,5
B-05-20,Block 20,حارة 20,20,JEN,5
B-05-21,Block 21,حارة 21,21,JEN,5
B-05-22,Block 22,حارة 22,22,JEN,5
B-07-23,Block 23,حارة 23,23,Oxfam,7
B-07-24,Block 24,حارة 24,24,Oxfam,7
B-07-21,Block 21,حارة 21,21,Oxfam,7
B-07-22,Block 22,حارة 22,22,Oxfam,7
B-07-19,Block 19,حارة 19,19,Oxfam,7
B-07-20,Block 20,حارة 20,20,Oxfam,7
B-07-17,Block 17,حارة 17,17,Oxfam,7
B-07-18,Block 18,حارة 18,18,Oxfam,7
B-07-15,Block 15,حارة 15,15,Oxfam,7
B-07-16,Block 16,حارة 16,16,Oxfam,7
B-07-13,Block 13,حارة 13,13,Oxfam,7
B-07-14,Block 14,حارة 14,14,Oxfam,7
B-07-11,Block 11,حارة 11,11,Oxfam,7
B-07-12,Block 12,حارة 12,12,Oxfam,7
B-07-09,Block 9,حارة 9,9,Oxfam,7
B-07-10,Block 10,حارة 10,10,Oxfam,7
B-07-07,Block 7,حارة 7,7,Oxfam,7
B-07-08,Block 8,حارة 8,8,Oxfam,7
B-07-05,Block 5,حارة 5,5,Oxfam,7
B-07-06,Block 6,حارة 6,6,Oxfam,7
B-07-03,Block 3,حارة 3,3,Oxfam,7
B-07-04,Block 4,حارة 4,4,Oxfam,7
B-07-01,Block 1,حارة 1,1,Oxfam,7
B-07-02,Block 2,حارة 2,2,Oxfam,7
B-09-01,Block 1,حارة 1,1,ACTED,9
B-09-02,Block 2,حارة 2,2,ACTED,9
B-09-03,Block 3,حارة 3,3,ACTED,9
B-09-04,Block 4,حارة 4,4,ACTED,9
B-09-05,Block 5,حارة 5,5,ACTED,9
B-09-06,Block 6,حارة 6,6,ACTED,9
B-09-07,Block 7,حارة 7,7,ACTED,9
B-09-08,Block 8,حارة 8,8,ACTED,9
B-09-09,Block 9,حارة 9,9,ACTED,9
B-09-10,Block 10,حارة 10,10,ACTED,9
B-09-11,Block 11,حارة 11,11,ACTED,9
B-09-12,Block 12,حارة 12,12,ACTED,9
B-09-13,Block 13,حارة 13,13,ACTED,9
B-09-14,Block 14,حارة 14,14,ACTED,9
B-09-15,Block 15,حارة 15,15,ACTED,9
B-09-16,Block 16,حارة 16,16,ACTED,9
B-06-01,Block 1,حارة 1,1,Oxfam,6
B-06-02,Block 2,حارة 2,2,Oxfam,6
B-06-03,Block 3,حارة 3,3,Oxfam,6
B-06-04,Block 4,حارة 4,4,Oxfam,6
B-06-05,Block 5,حارة 5,5,Oxfam,6
B-06-06,Block 6,حارة 6,6,Oxfam,6
B-06-07,Block 7,حارة 7,7,Oxfam,6
B-06-08,Block 8,حارة 8,8,Oxfam,6
B-06-09,Block 9,حارة 9,9,Oxfam,6
B-06-10,Block 10,حارة 10,10,Oxfam,6
