LONGITUDE,LATITUDE,ELEVATION
36.3205328176,32.2995372661,652.899
36.3211730292,32.2996410621,653.053
36.3165898135,32.3017673392,651.098
36.316577944,32.3017813749,651.087
36.3414574878,32.296606596,661.509
36.3416224236,32.2965064932,661.573
36.3415937397,32.2964702872,661.583
36.3139460994,32.2873600412,649.241
36.3139101795,32.2873849549,649.262
36.3138146378,32.2872921353,649.158
36.313825463,32.287298821,649.174
36.3138487044,32.2872667239,649.146
36.3138627813,32.2872161055,649.171
36.3138186421,32.2872539224,649.164
36.3137926769,32.2872680817,649.194
36.313785635,32.2872835174,649.192
36.3137913314,32.2872979666,649.176
36.3138466842,32.2873536829,649.201
36.3139270056,32.287433715,649.188
36.3138840624,32.2873465288,649.537
36.3139056424,32.2873637058,649.532
36.3139519418,32.2873829921,649.246
36.3139461172,32.2873423228,649.517
36.3137427798,32.2870918963,649.16
36.3137767294,32.287124041,649.159
36.3138252927,32.287058954,649.078
36.3138391077,32.2870478681,648.626
36.3139313499,32.2869996197,648.782
36.3140427733,32.2871255632,648.894
36.3139679328,32.2871905024,648.755
36.3139566011,32.2871980229,649.125
36.3139019958,32.2872455529,649.18
36.313954251,32.2872910081,649.547
36.3139810979,32.2873161279,649.538
36.314025869,32.2873659769,649.16
36.3138936143,32.2874622764,649.177
36.313863809,32.2874845395,649.165
36.3139599292,32.2874992854,649.163
36.3140627413,32.2874035872,649.27
36.3140700837,32.2873962731,649.301
36.3141290007,32.2873575687,649.375
36.3141433327,32.2873488406,648.942
36.3141974427,32.2873129467,649.179
36.3143955896,32.2874883341,649.47
36.3143392563,32.2875351942,649.41
36.3143234668,32.2875462975,649.23
36.3143149265,32.2875511426,649.722
36.3142648312,32.2875915458,649.808
36.314247324,32.2876028175,649.294
36.3141905357,32.2876681302,649.408
36.3143516889,32.2878386129,649.658
36.3144361297,32.2877878448,649.726
36.3144527149,32.2877775731,650.241
36.3145123235,32.2877398634,650.22
36.3145274333,32.2877339687,649.805
36.3145733569,32.2877136647,650.046
36.3151778758,32.2875844751,650.817
36.3152059099,32.2876155173,652.339
36.3150684868,32.2877258307,651.203
36.3150731518,32.287755807,652.425
36.3149030664,32.2877968328,650.907
36.3149009078,32.2878357599,652.42
36.3147683399,32.2879403135,652.618
36.3144749102,32.2884039374,650.496
36.3144175492,32.2883464266,650.198
36.3144167833,32.2883454235,650.174
36.3143539301,32.2882388096,649.959
36.3145300303,32.2880744162,650.151
36.3147277357,32.2881959487,650.582
36.3147484224,32.2882033952,650.769
36.3147686171,32.2881617398,650.743
36.3147225298,32.2880727691,650.805
36.31469503,32.2880742642,650.156
36.314599089,32.2879697087,650.108
36.3146178631,32.2879534845,650.594
36.3146775728,32.2879118695,650.612
36.3147023929,32.2878882434,650.566
36.3146941021,32.2879153129,650.323
36.3147638974,32.2879843642,650.409
36.3148013419,32.287983503,650.155
36.314882092,32.2879182499,650.195
36.3149073485,32.2879278202,650.322
36.3148972598,32.2879171156,650.326
36.314925888,32.287899326,650.295
36.3149359767,32.2879100305,650.347
36.3149522327,32.2879293822,650.508
36.3148408681,32.2880140836,650.681
36.3148309306,32.2880427997,650.558
36.3148310048,32.28804279,650.554
36.3148316105,32.2880628744,650.82
