Date,Time,Location,_Location_latitude,_Location_longitude,_Location_altitude,_Location_precision,What_is_effected,Please_specify_the_effected_facility,Severity_of_the_Flood,__version__,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
2016-12-14,13:13:00.000+01,32.303014999999995 36.32363833333333 659.5 2.9,32.303015,36.32363833,659.5,2.9,roads,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:77dc62d4-87b1-4d60-8286-3393aa7dc154,5331204,77dc62d4-87b1-4d60-8286-3393aa7dc154,2016-12-14T12:24:04,1,,-1,,
2016-12-14,10:45:00.000+01,32.29296 36.327268333333336 658.6 3.2,32.29296,36.32726833,658.6,3.2,facilities,Saudi school ,Low,vyPzAbtFf6gYYzo5DK6HuU,uuid:eac17f19-5431-4f48-8b2c-2caf18fed832,5331202,eac17f19-5431-4f48-8b2c-2caf18fed832,2016-12-14T12:24:04,2,,-1,,
2016-12-14,10:28:00.000+01,32.29084833333333 36.32418666666667 664.2 2.8,32.29084833,36.32418667,664.2,2.8,roads,,Very High,vyPzAbtFf6gYYzo5DK6HuU,uuid:16975bd6-71ea-4431-9655-0f68942fbf87,5331200,16975bd6-71ea-4431-9655-0f68942fbf87,2016-12-14T12:24:04,3,,-1,,
2016-12-14,10:23:00.000+01,32.290366666666664 36.3264 670.8 2.6,32.29036667,36.3264,670.8,2.6,shelters,,Very High,vyPzAbtFf6gYYzo5DK6HuU,uuid:f166e108-4f22-4e74-a4ac-b9adbd25c665,5331198,f166e108-4f22-4e74-a4ac-b9adbd25c665,2016-12-14T12:24:03,4,,-1,,
2016-12-14,10:16:00.000+01,32.289705000000005 36.322448333333334 659.1 2.2,32.289705,36.32244833,659.1,2.2,shelters,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:d4cc6823-ac7b-48f5-a237-a98ea514727f,5331195,d4cc6823-ac7b-48f5-a237-a98ea514727f,2016-12-14T12:24:02,5,,-1,,
2016-12-14,10:19:00.000+01,32.288995 36.323235 658.9 2.4,32.288995,36.323235,658.9,2.4,roads,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:42100fc2-ecf9-46c8-aaa8-b19c97722a6d,5331196,42100fc2-ecf9-46c8-aaa8-b19c97722a6d,2016-12-14T12:24:03,6,,-1,,
2016-12-14,10:12:00.000+01,32.288914999999996 36.31988333333334 656.8 2.9,32.288915,36.31988333,656.8,2.9,shelters,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:67ca8fa2-2703-425c-bcb8-afa128e057ef,5331193,67ca8fa2-2703-425c-bcb8-afa128e057ef,2016-12-14T12:24:02,7,,-1,,
2016-12-14,10:08:00.000+01,32.28657166666667 36.32237666666666 662.7 2.3,32.28657167,36.32237667,662.7,2.3,shelters,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:70ae2472-2a3e-4b02-a07a-02d9fa129c3a,5331191,70ae2472-2a3e-4b02-a07a-02d9fa129c3a,2016-12-14T12:24:02,8,,-1,,
2016-12-14,10:00:00.000+01,32.289115 36.32646333333333 661.6 2.6,32.289115,36.32646333,661.6,2.6,shelters,,Very High,vyPzAbtFf6gYYzo5DK6HuU,uuid:6aa9d09b-314a-499a-94df-94c30edbff68,5331189,6aa9d09b-314a-499a-94df-94c30edbff68,2016-12-14T12:24:01,9,,-1,,
2016-12-14,09:53:00.000+01,32.284655 36.335948333333334 660.7 2.7,32.284655,36.33594833,660.7,2.7,shelters,,Very High,vyPzAbtFf6gYYzo5DK6HuU,uuid:07ac0a8c-2923-4bc2-b4a1-47a868f03057,5331187,07ac0a8c-2923-4bc2-b4a1-47a868f03057,2016-12-14T12:24:01,10,,-1,,
2016-12-14,09:48:00.000+01,32.285963333333335 36.33746166666666 669.8 2.3,32.28596333,36.33746167,669.8,2.3,facilities,Local shop,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:2fcdf429-4181-4564-87b4-96d90825237a,5331185,2fcdf429-4181-4564-87b4-96d90825237a,2016-12-14T12:24:00,11,,-1,,
2016-12-14,09:46:00.000+01,32.28725166666666 36.337845 666.8 2.4,32.28725167,36.337845,666.8,2.4,shelters,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:e72da029-8f4c-40d4-a7e9-2d95a306bed7,5331182,e72da029-8f4c-40d4-a7e9-2d95a306bed7,2016-12-14T12:24:00,12,,-1,,
2016-12-14,09:39:00.000+01,32.29304333333334 36.34140333333333 671.2 2.1,32.29304333,36.34140333,671.2,2.1,shelters,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:7956d64c-1aee-4af5-8304-922f3d9584e8,5331179,7956d64c-1aee-4af5-8304-922f3d9584e8,2016-12-14T12:24:00,13,,-1,,
2016-12-14,09:22:00.000+01,32.29439 36.330891666666666 654.8 2.5,32.29439,36.33089167,654.8,2.5,shelters,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:aa1ecda3-d89f-436d-8cb0-c24c1848436c,5331175,aa1ecda3-d89f-436d-8cb0-c24c1848436c,2016-12-14T12:23:59,14,,-1,,
2016-12-14,09:35:00.000+01,32.292228333333334 36.34015 670.4 2.4,32.29222833,36.34015,670.4,2.4,shelters,,High,vyPzAbtFf6gYYzo5DK6HuU,uuid:370cd86b-96a0-4628-ad63-41c6b20c7a53,5331176,370cd86b-96a0-4628-ad63-41c6b20c7a53,2016-12-14T12:23:59,15,,-1,,
