X,Y,ORIGINAL,NGO,DISTRICT,BLOCK,OLDBIN,NEWBINLTR,NEWBINTTB,IDLTR,IDTTB,GPSLAT,GPSLON,GPSALT,GPSACC,HASID,CONDITION,XCOORD,YCOORD
36.3382288099897,32.2961914499865,1,Oxfam,7,2,0,1,1,D7-B2-B1,D7-B2-B1,32.29619145000,36.33822881000,696,2,no,maintain,249206,3576359
36.3384139799897,32.2953555099865,2,Oxfam,7,21,0,1,3,D7-B21-B1,D7-B21-B3,32.29535551000,36.33841398000,656,2,no,maintain,249255,3576279
36.3368041399897,32.2902154099864,3,Oxfam,7,1,0,1,1,D7-B1-B1,D7-B1-B1,32.29021541000,36.33680414000,710,2,no,good,249313,3575692
36.3384777699897,32.2891337699865,4,Oxfam,7,1,0,3,4,D7-B1-B3,D7-B1-B4,32.28913377000,36.33847777000,673,3,no,good,249503,3575635
36.3386836699898,32.2892668799865,5,Oxfam,7,1,0,4,3,D7-B1-B4,D7-B1-B3,32.28926688000,36.33868367000,672,2,no,maintain,249516,3575655
36.3382237599897,32.2896624199865,6,Oxfam,7,3,0,3,2,D7-B3-B3,D7-B3-B2,32.28966242000,36.33822376000,690,3,no,good,249460,3575681
36.3375163699897,32.2898790699865,7,Oxfam,7,3,0,2,3,D7-B3-B2,D7-B3-B3,32.28987907000,36.33751637000,701,2,no,maintain,249389,3575680
36.3371211699897,32.2900338999864,8,Oxfam,7,1,0,2,2,D7-B1-B2,D7-B1-B2,32.29003390000,36.33712117000,694,3,no,good,249348,3575683
36.3368041399897,32.2902154099864,9,Oxfam,7,3,0,1,1,D7-B3-B1,D7-B3-B1,32.29021541000,36.33680414000,710,4,no,maintain,249313,3575692
36.3382467999897,32.2903630599865,10,Oxfam,7,5,0,1,1,D7-B5-B1,D7-B5-B1,32.29036306000,36.33824680000,693,5,no,good,249435,3575755
36.3390349099898,32.2908391999865,11,Oxfam,7,7,0,5,3,D7-B7-B5,D7-B7-B3,32.29083920000,36.33903491000,691,2,no,maintain,249485,3575830
36.3385457099898,32.2908751199865,12,Oxfam,7,7,0,4,4,D7-B7-B4,D7-B7-B4,32.29087512000,36.33854571000,692,2,no,good,249441,3575818
36.3378684099897,32.2910860699865,13,Oxfam,7,7,0,2,5,D7-B7-B2,D7-B7-B5,32.29108607000,36.33786841000,692,2,no,good,249373,3575817
36.3376891199897,32.2917530299865,14,Oxfam,7,7,0,1,1,D7-B7-B1,D7-B7-B1,32.29175303000,36.33768912000,694,3,no,maintain,249331,3575881
36.3373368799897,32.2918950299864,15,Oxfam,7,9,0,1,2,D7-B9-B1,D7-B9-B2,32.29189503000,36.33733688000,692,5,no,maintain,249295,3575884
36.3385328599898,32.2914493599865,16,Oxfam,7,7,0,3,2,D7-B7-B3,D7-B7-B2,32.29144936000,36.33853286000,699,4,no,good,249417,3575877
36.3394767599898,32.2911950299865,17,Oxfam,7,9,0,3,3,D7-B9-B3,D7-B9-B3,32.29119503000,36.33947676000,698,5,no,good,249511,3575882
36.3391309899898,32.2917823099865,18,Oxfam,7,9,0,2,1,D7-B9-B2,D7-B9-B1,32.29178231000,36.33913099000,692,6,no,good,249457,3575931
36.3383754799898,32.2922314799865,19,Oxfam,7,11,0,3,2,D7-B11-B3,D7-B11-B2,32.29223148000,36.33837548000,690,3,no,good,249373,3575953
36.3380371199897,32.2923213299865,20,Oxfam,7,11,0,1,3,D7-B11-B1,D7-B11-B3,32.29232133000,36.33803712000,687,3,no,maintain,249340,3575951
36.3376471899897,32.2930367999865,21,Oxfam,7,13,0,1,3,D7-B13-B1,D7-B13-B3,32.29303680000,36.33764719000,686,3,no,maintain,249277,3576013
