LONGITUDE,LATITUDE,DISTRICT,BLOCK,NAME_EN,NAME_AR
36.3131202061,32.2962342427,12,1,Albir,البر
36.3120318115,32.2953001198,12,3,Makiyon1,مكيون ١
36.3143477559,32.2957116928,12,2,Alhabeeb almostafa,الحبيب المصطفى
36.3176533899,32.2943536212,12,3,Ja'far altayar,جعفر الطيار
36.3164081848,32.295003782,12,3,Almouna,المنى
36.3133651437,32.2933882677,12,6,Sa'eed bin alousayab,سعيد بن المسيب
36.3354960027,32.2823754954,8,23,Alzobayr bin awam,الزبير بن عوام
36.3155399802,32.2910245054,12,10,Hamza bin abdelmoutaleb,حمزة بن عبدالمطلب
36.3383286836,32.2814597261,8,24,Shohada alghota,شهداء الغوطة
36.3374745728,32.2832682607,8,20,Alqa'qa bin amro altamimi,القعقاع بن عمرو التميمي
36.3386411807,32.2866032343,8,8,Alda'wa,الدعوة
36.3405462575,32.283842612,8,14,A'l askar,ال عسكر
36.3390810419,32.288155199,8,2,Ahl alsoneh,اهل السنة
36.3427362074,32.2914541414,7,14,Khozayma bin thabet alansari,خزيمة بن ثابت الانصاري
36.3374259848,32.2897721365,7,1,Ibn katheer aldemashqe,ابن كثير الدمشقي
36.3408469241,32.2897108365,7,6,Amro bin ala's,عمرو بن العاص
36.3412453637,32.2935254261,7,18,Ahl alsham,اهل الشام
36.3401056111,32.2926640806,7,13,Anas bin malek,انس بن مالك
36.3386131806,32.2953495423,7,21,Altaqwa,التقوى
36.3399955069,32.2963455691,7,23,Aliman bellah,الايمان بالله
36.334679435,32.290316781,6,18,Sayed bin thabet,زيد بن ثابت
36.3353134891,32.2916570082,6,14,Alsahabah,الصحابه
36.3346312575,32.2946249362,6,9,Alwalden,الوالدين
36.3328667919,32.2924037314,6,15,Aisha bint abi baker,عائشة بنت ابي بكر
36.3328030327,32.2986309645,5,4,Moa'oya bn abi sofian,معاوية بن ابي سفيان
36.3338300735,32.2973760881,6,3,Alrayan,الريان
36.3295005926,32.2949266688,5,20,Abdallah Ben almobarak,عبدالله بن المبارك
36.3320464406,32.2958950679,5,14,Alomari Alkabeer,جامع العمري الكبير
36.3296328394,32.2999937823,5,1,Alislah,الاصلاح
36.3296782118,32.2975990308,5,9,Almohamadi Alkabeer,الجامع المحمدي الكبير
36.3216187045,32.2869153718,11,16,Alemam moslem,مسجد الامام مسلم
36.3176630661,32.2896839928,11,11,Khadeja bnt khoiled,خديجه بنت خويلد
36.31941896,32.2910374595,11,9,Abo baker alsadeq,ابو بكر الصديق
36.3218234296,32.2906959841,11,8,Mosa'b beb omair,مصعب بن عمير
36.3199298679,32.2922444211,11,5,Jaafar beb abi taleb,جعفر بن ابي طالب
36.3176650805,32.2929125712,11,5,Ali bin abi taleb,علي بن ابي طالب
36.3213164847,32.2938699322,11,1,Belal alhabashi,بلال الحبشي
36.3239670696,32.2928290852,11,4,Alhoda,الهدى
36.3278246426,32.2920899922,10,2,Alforqan,الفرقان
36.3298755475,32.2909358407,10,4,Othman bin afan,عثمان بن عفان
36.3266773108,32.2901927236,10,5,Omar almokhtar,عمر المختار
36.3242090402,32.290640233,10,7,Harmala bin alwaled,حرمله بن الوليد
36.3276540575,32.2885498581,10,8,Abi baker alsadeq,ابي بكر الصديق
36.3256957706,32.2873442369,10,12,Ibn alqaim,ابن القيم
36.322935005,32.2879468733,10,11,Abo baker alsadeq,ابو بكر الصديق
36.3256688572,32.2849019009,10,16,Alkuaiti,الكويتي
36.3278084999,32.2851852821,9,15,Aisha om almomanin,السيده عائشه ام المؤمنين
36.329281293,32.2858203541,9,11,Omar bin alkhatab,عمر بن الخطاب
36.3317823706,32.285075673,9,12,Alemam moslem bin alhajaj,الامام مسلم بن الحجاج
36.3290710161,32.288067698,9,9,,لا يوجد
36.3297589337,32.2891206982,9,5,Kaled bin alwaled,خالد بن الوليد
36.3328473684,32.2890004396,9,6,Om salama,ام سلمه
36.3250484411,32.3015516205,3,1,Shohadaa alghota,مسجد شهداء الغوطه
36.3227938105,32.3011055594,3,5,Almohajeren o alansar,مسجد المهاجرين والانصار
36.3250772214,32.2983038849,3,12,Khaled Ben alwaled,خالد بن الوليد
36.3257905814,32.3002497913,3,6,Salah Alden alayobi,صلاح الدين الايوبي
36.3276694695,32.30016846,3,4,Alkuiti,الكويتي
36.3265264316,32.2958673626,4,6,Ammar bn yaser,عمار بن ياسر
36.3236427395,32.2956151604,4,10,Alemam ballah,الايمان بالله
36.3212945815,32.2959320406,4,11,Alfaroq,الفاروق
36.3189962109,32.2958739584,4,13,Altawhed,التوحيد
36.3205406391,32.296584591,4,11,Almoqdad bn alaswad,المقداد بن الاسود
36.3224088247,32.2967054342,4,7,Moaath bn jabal,معاذ بن جبل
36.3211771017,32.2977148486,4,5,Alsadiq alamen,الصادق الامين
36.3236883001,32.2977721913,4,1,Anas bn malek,انس بن مالك
36.3142869123,32.2967394868,2,9,Altaqwa,التقوى
36.3184692031,32.2980461042,2,5,Abo baker alsadeq,ابو بكر الصديق
36.3144987183,32.2994316644,2,2,Alomari,العمري
36.3166434211,32.2990737659,2,3,Khadeja,خديجه
36.316709414,32.3007468529,1,10,Rohmaa baynahom,رحماء بينهم
36.3200422489,32.2997226974,2,1,Alkravan,الكرفانه
36.3161895737,32.3022749574,1,6,Abd alrhman bn awf,عبد الرحمن بن عوف
36.3192176672,32.3031766113,1,3,Alsalam,السلام
36.3195720353,32.3018934358,1,6,Zaatari kaber,مسجد الزعتري الكبير
36.3170582886,32.3014321787,1,8,Alfaroq,الفاروق
36.3347544214,32.2865091665,8,11,,
