OBJECTID,LINETYPE,NAME,AR_NAME
3,paved,Al Khadamat Street,شارع الخدمات
9,paved,Al Souq Street,شارع السوق
10,paved,Al Sanout Street,شارع السنوت
11,paved,Al Rabee' Street,شارع الربيع
12,paved,Bardi Street,شارع بردى
13,paved,Khamman Street,شارع خمان
14,paved,Maraya Street,شارع مرايا
15,paved,Al Khuzami Street,شارع الخزامي
16,paved,Al Qameh Street,شارع القمح
17,paved,Al Kafour Street,شارع الكافور
18,paved,Al Kharroub Street,شارع الخروب
19,paved,Al Safsaf Street,شارع الصفصاف
20,paved,Al Mithaq Street,شارع الميثاق
21,paved,Al Sidq Street,شارع الصديق
22,paved,Abbad Al Shams Street,شارع عباد الشمس
23,paved,Al Ballout Street,شارع البلوط
24,paved,Al Hour Street,شارع الحور
25,paved,Al nardeen Street,شارع الناردين
26,paved,Al Narjes Street,شارع النرجس
27,paved,Al Teen Street,شارع التين
28,paved,Al Quton Street,شارع القطن
29,paved,Al Raihan Street,شارع الريحان
30,paved,Al Saru Street,شارع السرو
31,paved,Al Nisreen Street,شارع النسرين
32,paved,Al Yansoun Street,شارع اليانسون
33,paved,Al Rumman Street,شارع الرمان
34,paved,Al Nakheel Street,شارع النخيل
35,paved,Al Zaytoun Steet,شارع الزيتون
36,paved,Al Wasl Street,شارع الوصل
37,paved,Al Tahouna Street,شارع الطاحونة
38,paved,Al Khail Street,شارع الخيل
39,paved,Al Littihad Stree,شارع الاتحاد
40,paved,Al Madares Street,شارع المدارس
41,paved,Al Matteh Street,شارع المته
42,paved,Al Amanah Street,شارع الامانة
43,paved,Al Sadeeq Street,شارع الصديق
44,paved,Al Jameel Street,شارع الجميل
45,paved,Anbar Street,شارع انبار
46,paved,Al Yasmin Street,شارع الياسمين
47,paved,Alhadaeq Street,شارع الحدائق
48,paved,Enab Street,شارع عناب
49,paved,Rashad Street,شارع رشاد
50,paved,Al Haram Street,شارع الهرم
51,paved,Al Dalya Street,شارع الداليه
52,paved,Al Saber Street,شارع الصابر
53,paved,Al Andalus Street,شارع الاندلس
54,paved,Al Qadi Street,شارع القاضي
55,paved,Al Sahafa Street,شارع الصحافة
56,paved,Al Fuqaha'  Street,شارع الفقهاء
57,paved,Al MAhabba Street,شارع المحبة
58,paved,Omar Bin Alkhattab Street,شارع عمر بن الخطاب
