LONGITUDE,LATITUDE,VOLUME,STATUS,NAME,DISTRICT,BLOCK,NUMBER,HOUSES
36.3414687943,32.2887834061,4,Connected,D07-B04-T08,7,4,8,"D7-B4-H43,D7-B4-H44,D7-B4-H48,D7-B4-H50,"
36.3399841757,32.2927988839,4,Connected,D07-B13-T13,7,13,13,"D7-B13-H46,D7-B13-H51,D7-B13-H53,D7-B13-H55,D7-B13-H56,D7-B13-H57,D7-B13-H58"
36.3309004338,32.2982485811,8,Connected,D05-B08-T02,5,8,2,"D5-B8-H9,D5-B8-H10,D5-B8-H11,D5-B8-H12,D5-B8-H13,D5-B8-H14,D5-B8-H15B"
36.3304992657,32.2954524481,8,Connected,D05-B16-T06,5,16,6,"D5-B16-H25,D5-B16-H26,D5-B16-H27,D5-B16-H28,D5-B16-H29,D5-B16-H30,D5-B16-H31"
36.3280698966,32.2981870778,4,Connected,D05-B09-T04,5,9,4,"D5-B9-H24,D5-B9-H27,D5-B9-H28,D5-B9-H29,D5-B9-H30,D5-B9-H31,D5-B9-H33"
36.3283150847,32.3005921515,8,Connected,D05-B01-T01,5,1,1,"D5-B1-H115,D5-B1-H116,D5-B1-H118,D5-B1-H119,D5-B1-H120,D5-B1-H121"
36.3284983506,32.3009106382,2,Connected,D05-B01-T02,5,1,2,D5-B1-H126
36.3286622521,32.3007402747,4,Connected,D05-B01-T03,5,1,3,"D5-B1-H112,D5-B1-H113,D5-B1-H114,D5-B1-H124,D5-B1-H125,D5-B1-H127"
36.3287440818,32.3000797257,2,Connected,D05-B01-T05,5,1,5,"D5-B1-H104A,D5-B1-H104B,"
36.3286605404,32.3002610373,4,Connected,D05-B01-T04,5,1,4,"D5-B1-H99,D5-B1-H106,D5-B1-H107"
36.3290424572,32.3006539336,4,Connected,D05-B01-T06,5,1,6,"D5-B1-H96,D5-B1-H97,D5-B1-H98,D5-B1-H109,D5-B1-H110,D5-B1-H111"
36.3288878747,32.3002569439,4,Connected,D05-B01-T07,5,1,7,"D5-B1-H89,D5-B1-H90,D5-B1-H100,D5-B1-H102"
36.3293295677,32.3005525502,4,Connected,D05-B01-T08,5,1,8,"D5-B1-H81,D5-B1-H82,D5-B1-H83,D5-B1-H84,D5-B1-H95,D5-B1-H96"
36.3293534711,32.3001806704,4,Connected,D05-B01-T09,5,1,9,"D5-B1-H73A,D5-B1-H75,D5-B1-H76,D5-B1-H85,D5-B1-H88A,D5-B1-H88B,"
36.329513706,32.2999038626,4,Connected,D05-B01-T10,5,1,10,"D5-B1-H73B,D5-B1-H74A,D5-B1-H74B,"
36.329735429,32.3004264489,8,Connected,D05-B01-T11,5,1,11,"D5-B1-H66,D5-B1-H68,D5-B1-H69A,D5-B1-H69B,D5-B1-H78,D5-B1-H79,D5-B1-H80"
36.3297524811,32.3002679961,4,Connected,D05-B01-T12,5,1,12,"D5-B1-H60,D5-B1-H62,D5-B1-H70,D5-B1-H72,D5-B1-H77"
36.3299812684,32.3006834455,2,Connected,D05-B01-T13,5,1,13,"D5-B1-H63,D5-B1-H64,D5-B1-H65"
36.3297114315,32.2998122795,4,Connected,D05-B01-T14,5,1,14,"D5-B1-H55,D5-B1-H56A,D5-B1-H56B,D5-B1-H57,D5-B1-H58,D5-B1-H59"
36.3299068567,32.299926161,4,Connected,D05-B01-T15,5,1,15,"D5-B1-H39,D5-B1-H40A,D5-B1-H40B,D5-B1-H53,D5-B1-H54,"
36.3302006819,32.3006311694,4,Connected,D05-B01-T16,5,1,16,"D5-B1-H48A,D5-B1-H49,D5-B1-H50"
36.3300925407,32.3002490502,4,Connected,D05-B01-T17,5,1,17,"D5-B1-H43,D5-B1-H51,D5-B1-H52(TENT)"
36.3301435468,32.2997430094,4,Connected,D05-B01-T18,5,1,18,"D5-B1-H23,D5-B1-H35,D5-B1-H36,D5-B1-H37,D5-B1-H38"
36.3304285409,32.3005019902,4,Connected,D05-B01-T19,5,1,19,"D5-B1-H30,D5-B1-H31,D5-B1-H44,D5-B1-H45,D5-B1-H46,D5-B1-H47,D5-B1-H48B"
36.3304375391,32.3001367712,4,Connected,D05-B01-T20,5,1,20,"D5-B1-H26A,D5-B1-H28,D5-B1-H29,D5-B1-H33,D5-B1-H41,D5-B1-H42"
36.3304391103,32.2997852427,4,Connected,D05-B01-T21,5,1,21,"D5-B1-H24,D5-B1-H25,D5-B1-H26B"
36.3306174695,32.3000532574,2,Connected,D05-B01-T22,5,1,22,"D5-B1-H14A,D5-B1-H15,D5-B1-H16"
36.3306791723,32.2999379324,4,Connected,D05-B01-T23,5,1,23,"D5-B1-H9,D5-B1-H17,D5-B1-H18,D5-B1-H20,D5-B1-H21,D5-B1-H22"
36.331046568,32.3003182225,4,Connected,D05-B01-T24,5,1,24,"D5-B1-H1,D5-B1-H12,D5-B1-H13,D5-B1-H14B"
36.3308212738,32.2994323876,8,Connected,D05-B01-T25,5,1,25,"D5-B1-H5,D5-B1-H6,D5-B1-H8,D5-B1-H19"
36.3309889406,32.2997390909,4,Connected,D05-B01-T26,5,1,26,
36.3312058272,32.3000659066,4,Connected,D05-B01-T27,5,1,27,"D5-B1-H2,D5-B1-H3,D5-B1-H4,D5-B1-H10,D5-B1-H11"
36.3281175078,32.3000551771,4,Connected,D05-B03-T01,5,3,1,"D5-B3-H30A,D5-B3-H30B,D5-B3-H31,D5-B3-H32,D5-B3-H33"
36.328502209,32.300035694,4,Connected,D05-B03-T02,5,3,2,"D5-B3-H28,D5-B3-H29"
36.3287039467,32.2999495366,4,Connected,D05-B03-T03,5,3,3,"D5-B3-H22,D5-B3-H24,D5-B3-H25,D5-B3-H26,D5-B3-H27"
36.329070856,32.2998297072,4,Connected,D05-B03-T04,5,3,4,"D5-B3-H19,D5-B3-H20,D5-B3-H21"
36.329096577,32.2996107914,4,Connected,D05-B03-T05,5,3,5,"D5-B3-H16,D5-B3-H17,D5-B3-H18"
36.329463936,32.2995525251,4,Connected,D05-B03-T06,5,3,6,"D5-B3-H12,D5-B3-H13,D5-B3-H14,D5-B3-H15"
36.3299194295,32.2994810743,4,Connected,D05-B03-T07,5,3,7,"D5-B3-H8,D5-B3-H11,"
36.3304752106,32.2993093786,4,Connected,D05-B03-T08,5,3,8,"D5-B3-H1,D5-B3-H3,D5-B3-H4,D5-B3-H5"
36.330664001,32.299267092,2,Connected,D05-B03-T09,5,3,9,D5-B3-H2
36.3282082586,32.2996686557,8,Connected,D05-B05-T01,5,5,1,"D5-B5-H44,D5-B5-H45,D5-B5-H46,D5-B5-H47,D5-B5-H48,D5-B5-H49,D5-B5-H50,D5-B5-H51,D5-B5-H52"
36.3285879224,32.2992936609,4,Connected,D05-B05-T02,5,5,2,"D5-B5-H37,D5-B5-H40,D5-B5-H42,D5-B5-H43A,D5-B5-H43B,"
36.3289896259,32.2994367079,4,Connected,D05-B05-T03,5,5,3,"D5-B5-H36,D5-B5-H38,D5-B5-H39"
36.3291474972,32.299379988,4,Connected,D05-B05-T04,5,5,4,"D5-B5-H32,D5-B5-H33,D5-B5-H34,D5-B5-H35"
36.3294797579,32.2992362524,4,Connected,D05-B05-T05,5,5,5,"D5-B5-H25,D5-B5-H27,D5-B5-H28,D5-B5-H29,D5-B5-H31"
36.3297109413,32.2991247003,8,Connected,D05-B05-T06,5,5,6,"D5-B5-H17,D5-B5-H18,D5-B5-H20,D5-B5-H21,D5-B5-H23,D5-B5-H24,D5-B5-H26"
36.330096951,32.2990275472,4,Connected,D05-B05-T07,5,5,7,"D5-B5-H11,D5-B5-H12,D5-B5-H14,D5-B5-H15,D5-B5-H16"
36.33026242,32.2989520884,4,Connected,D05-B05-T08,5,5,8,"D5-B5-H4,D5-B5-H8,D5-B5-H10"
36.3305537509,32.2988610348,8,Connected,D05-B05-T09,5,5,9,"D5-B5-H1,D5-B5-H2,D5-B5-H3,D5-B5-H6"
36.3279801714,32.2991116959,4,Connected,D05-B07-T01,5,7,1,"D5-B7-H50,D5-B7-H51,D5-B7-H52,D5-B7-H53"
36.3283211229,32.2990024099,4,Connected,D05-B07-T02,5,7,2,"D5-B7-H44,D5-B7-H46,D5-B7-H47,D5-B7-H48,D5-B7-H49"
36.3284214552,32.2986586674,4,Connected,D05-B07-T03,5,7,3,"D5-B7-H40,D5-B7-H41,D5-B7-H42,D5-B7-H43"
36.3285321945,32.2986302892,4,Connected,D05-B07-T04,5,7,4,"D5-B7-H36,D5-B7-H37,D5-B7-H38,D5-B7-H39,D5-B7-H47"
36.3288408325,32.2988757556,4,Connected,D05-B07-T05,5,7,5,"D5-B7-H31,D5-B7-H33,D5-B7-H34,D5-B7-H35"
36.3292652342,32.2987056522,4,Connected,D05-B07-T06,5,7,6,"D5-B7-H24,D5-B7-H25B,D5-B7-H26,D5-B7-H27,D5-B7-H28,D5-B7-H29"
36.3295057494,32.2985347315,4,Connected,D05-B07-T07,5,7,7,"D5-B7-H17,D5-B7-H18,D5-B7-H22,D5-B7-H25A"
36.3296701828,32.2986404766,2,Connected,D05-B07-T08,5,7,8,"D5-B7-H20,D5-B7-H21"
36.3297764122,32.2985593642,8,Connected,D05-B07-T09,5,7,9,"D5-B7-H10,D5-B7-H11,D5-B7-H12,D5-B7-H13,D5-B7-H14,D5-B7-H15,D5-B7-H16"
36.3301081233,32.2984581113,4,Connected,D05-B07-T10,5,7,10,"D5-B7-H1,D5-B7-H2,D5-B7-H3,D5-B7-H6,D5-B7-H7,D5-B7-H8,D5-B7-H9"
36.3275392787,32.2986538213,2,Connected,D05-B09-T01,5,9,1,"D5-B9-H45,D5-B9-H46"
36.3277804134,32.2982591314,4,Connected,D05-B09-T02,5,9,2,"D5-B9-H36,D5-B9-H37,D5-B9-H42,"
36.3280145401,32.2986383842,4,Connected,D05-B09-T03,5,9,3,"D5-B9-H38,D5-B9-H39,D5-B9-H40,D5-B9-H44"
36.328350301,32.2984921909,2,Connected,D05-B09-T05,5,9,5,"D5-B9-H26,D5-B9-H32"
36.3283622275,32.2981261335,2,Connected,D05-B09-T06,5,9,6,D5-B9-H23
36.3286335981,32.2983104782,4,Connected,D05-B09-T07,5,9,7,"D5-B9-H20,D5-B9-H21,D5-B9-H22,D5-B9-H25"
36.3289187,32.2982435391,4,Connected,D05-B09-T08,5,9,8,"D5-B9-H15,D5-B9-H16,D5-B9-H17,D5-B9-H18,D5-B9-H19"
36.3290530978,32.2978349228,4,Connected,D05-B09-T09,5,9,9,"D5-B9-H10A,D5-B9-H11,D5-B9-H12,D5-B9-H13,D5-B9-H14"
36.3292419439,32.2977919884,4,Connected,D05-B09-T10,5,9,10,"D5-B9-H5,D5-B9-H6,D5-B9-H9,D5-B9-H10B"
36.3295357027,32.2980404735,4,Connected,D05-B09-T11,5,9,11,"D5-B9-H4A,D5-B9-H4B,D5-B9-H7,D5-B9-H8,"
36.330010281,32.2979281402,4,Connected,D05-B09-T12,5,9,12,"D5-B9-H1,D5-B9-H2,D5-B9-H3,D5-B9-H4C,D5-B9-H4D"
36.3275483333,32.2980760906,4,Connected,D05-B11-T01,5,11,1,"D5-B11-H40,D5-B11-H42A,D5-B11-H42B"
36.3275460647,32.2978309591,4,Connected,D05-B11-T02,5,11,2,"D5-B11-H33,D5-B11-H38,D5-B11-H39,D5-B11-H41"
36.3278588371,32.2977605328,2,Connected,D05-B11-T03,5,11,3,"D5-B11-H31,D5-B11-H35"
36.3282128588,32.2978064258,4,Connected,D05-B11-T04,5,11,4,"D5-B11-H16,D5-B11-H24,D5-B11-H25,D5-B11-H27,D5-B11-H28,D5-B11-H30"
36.3286055441,32.2974737056,4,Connected,D05-B11-T05,5,11,5,"D5-B11-H17,D5-B11-H19,D5-B11-H20,D5-B11-H21"
36.3288807024,32.2976519722,4,Connected,D05-B11-T06,5,11,6,"D5-B11-H14,D5-B11-H16,D5-B11-H18"
36.329056125,32.2972742254,4,Connected,D05-B11-T07,5,11,7,"D5-B11-H10,D5-B11-H11,D5-B11-H12,D5-B11-H13,D5-B11-H15"
36.3296461928,32.2973710666,4,Connected,D05-B11-T08,5,11,8,"D5-B11-H5A,D5-B11-H6,D5-B11-H7,D5-B11-H8A,D5-B11-H8B"
36.3297470301,32.2973565526,4,Connected,D05-B11-T09,5,11,9,"D5-B11-H1,D5-B11-H2,D5-B11-H3,D5-B11-H4,D5-B11-H5B"
36.3272953037,32.2974025064,4,Connected,D05-B13-T01,5,13,1,"D5-B13-H30,D5-B13-H31,D5-B13-H35"
36.327426495,32.2975403355,4,Connected,D05-B13-T02,5,13,2,"D5-B13-H32,D5-B13-H33A,D5-B13-H33B,D5-B13-H34"
36.3277816629,32.2974266044,8,Connected,D05-B13-T03,5,13,3,"D5-B13-H24,D5-B13-H25,D5-B13-H26,D5-B13-H27,D5-B13-H28,D5-B13-H29"
36.328157344,32.2972576908,4,Connected,D05-B13-T04,5,13,4,"D5-B13-H17B,D5-B13-H19,D5-B13-H21,D5-B13-H22,D5-B13-H23"
36.3286079118,32.2970649487,4,Connected,D05-B13-T05,5,13,5,"D5-B13-H12,D5-B13-H13,D5-B13-H14,D5-B13-H15,D5-B13-H16"
36.3290027299,32.2969088128,4,Connected,D05-B13-T06,5,13,6,"D5-B13-H7,D5-B13-H8,D5-B13-H9,D5-B13-H10"
36.3291458731,32.2965490984,8,Connected,D05-B13-T07,5,13,7,"D5-B13-H1,D5-B13-H2,D5-B13-H4,D5-B13-H5,D5-B13-H6,D5-B13-H17A"
36.3270288262,32.2967639633,2,Connected,D05-B15-T01,5,15,1,"D5-B15-H36A,D5-B15-H39,D5-B15-H40,D5-B15-H42"
36.3273984888,32.2968356751,8,Connected,D05-B15-T02,5,15,2,"D5-B15-H33,D5-B15-H34,D5-B15-H35,D5-B15-H36B,D5-B15-H37"
36.3279304572,32.29668653,2,Connected,D05-B15-T03,5,15,3,D5-B15-H30
36.328064632,32.2965904139,8,Connected,D05-B15-T04,5,15,4,"D5-B15-H20,D5-B15-H21,D5-B15-H22A,D5-B15-H23,D5-B15-H24,D5-B15-H25,D5-B15-H26,D5-B15-H29"
36.3282950568,32.2965776481,2,Connected,D05-B15-T05,5,15,5,"D5-B15-H22B,D5-B15-H22C"
36.3284451722,32.2964770252,4,Connected,D05-B15-T06,5,15,6,"D5-B15-H14,D5-B15-H15,D5-B15-H18,D5-B15-H19A,D5-B15-H19B"
36.3286107621,32.2963062525,4,Connected,D05-B15-T07,5,15,7,"D5-B15-H9,D5-B15-H10A,D5-B15-H10B,D5-B15-H11,D5-B15-H12,D5-B15-H13"
36.3291241528,32.2962651149,8,Connected,D05-B15-T08,5,15,8,"D5-B15-H1,D5-B15-H4,D5-B15-H5,D5-B15-H6,D5-B15-H7,D5-B15-H8A,D5-B15-H8B"
36.3291683901,32.2958992028,2,Connected,D05-B15-T09,5,15,9,"D5-B15-H2,D5-B15-H3"
36.3270880601,32.2963856288,2,Connected,D05-B17-T01,5,17,1,"D5-B17-H39,D5-B17-H40"
36.3270097532,32.2960918781,4,Connected,D05-B17-T02,5,17,2,"D5-B17-H36,D5-B17-H37,D5-B17-H38,"
36.3274697861,32.2959067553,8,Connected,D05-B17-T03,5,17,3,"D5-B17-H25,D5-B17-H27,D5-B17-H29,D5-B17-H30,D5-B17-H32,D5-B17-H33,D5-B17-H34,D5-B17-H35"
36.3276637355,32.295808454,2,Connected,D05-B17-T04,5,17,4,D5-B17-H31
36.3278011273,32.2957744164,4,Connected,D05-B17-T05,5,17,5,"D5-B17-H18,D5-B17-H19,D5-B17-H21,D5-B17-H22,D5-B17-H23,D5-B17-H24,D5-B17-H26,D5-B17-H28"
36.3281317257,32.2956382718,4,Connected,D05-B17-T06,5,17,6,"D5-B17-H14,D5-B17-H15,D5-B17-H16,D5-B17-H17"
36.3283946029,32.2956093779,4,Connected,D05-B17-T07,5,17,7,"D5-B17-H6,D5-B17-H8,D5-B17-H9,D5-B17-H12,D5-B17-H13"
36.3286580487,32.2954702436,4,Connected,D05-B17-T08,5,17,8,"D5-B17-H1,D5-B17-H2,D5-B17-H3,D5-B17-H4,D5-B17-H5"
36.3268488307,32.295471187,8,Connected,D05-B19-T01,5,19,1,"D5-B19-H34,D5-B19-H36,D5-B19-H37,D5-B19-H38,D5-B19-H39,D5-B19-H40,D5-B19-H41"
36.3272742793,32.2953194376,4,Connected,D05-B19-T02,5,19,2,"D5-B19-H26,D5-B19-H27,D5-B19-H30,D5-B19-H31,D5-B19-H32"
36.3277620924,32.295252125,8,Connected,D05-B19-T03,5,19,3,"D5-B19-H16,D5-B19-H17,D5-B19-H21,D5-B19-H22,D5-B19-H23,D5-B19-H24"
36.3282598897,32.2949586138,2,Connected,D05-B19-T04,5,19,4,"D5-B19-H7,D5-B19-H11"
36.3285999587,32.2948794215,8,Connected,D05-B19-T05,5,19,5,"D5-B19-H1,D5-B19-H2,D5-B19-H3,D5-B19-H4,D5-B19-H5,D5-B19-H9"
36.325850042,32.2931352773,2,Connected,D05-B21-T02,5,21,2,"D5-B21-H61A,D5-B21-H61B"
36.3255483009,32.2933187881,8,Connected,D05-B21-T01,5,21,1,"D5-B21-H55A,D5-B21-H55B,D5-B21-H56,D5-B21-H57,D5-B21-H58,D5-B21-H59A,D5-B21-H59B"
36.3262474304,32.2938941815,4,Connected,D05-B21-T03,5,21,3,"D5-B21-H43,D5-B21-H44,D5-B21-H52,D5-B21-H53"
36.3265340924,32.2942048294,4,Connected,D05-B21-T04,5,21,4,"D5-B21-H42A,D5-B21-H42B,D5-B21-H51,"
36.3263999726,32.2945305289,8,Connected,D05-B21-T05,5,21,5,"D5-B21-H46,D5-B21-H47,D5-B21-H48,D5-B21-H50A,D5-B21-H50B"
36.3267330139,32.29456067,8,Connected,D05-B21-T06,5,21,6,"D5-B21-H35,D5-B21-H36,D5-B21-H37,D5-B21-H39,D5-B21-H40"
36.3272083472,32.2945579599,8,Connected,D05-B21-T07,5,21,7,"D5-B21-H26,D5-B21-H29,D5-B21-H30,D5-B21-H31,D5-B21-H32,D5-B21-H33,D5-B21-H34A,D5-B21-H34B"
36.3275192699,32.2945015895,8,Connected,D05-B21-T08,5,21,8,"D5-B21-H17,D5-B21-H18,D5-B21-H19,D5-B21-H21,D5-B21-H22,D5-B21-H24,D5-B21-H25"
36.3279137762,32.2943673897,8,Connected,D05-B21-T09,5,21,9,"D5-B21-H9,D5-B21-H10,D5-B21-H13,D5-B21-H15,D5-B21-H16"
36.328368479,32.2943172769,4,Connected,D05-B21-T10,5,21,10,"D5-B21-H1,D5-B21-H4,D5-B21-H5,D5-B21-H6"
36.3291934337,32.2942072739,4,Connected,D05-B22-T01,5,22,1,"D5-B22-H1,D5-B22-H2,D5-B22-H4,D5-B22-H5,D5-B22-H6"
36.3295285513,32.2940764745,4,Connected,D05-B22-T02,5,22,2,"D5-B22-H7,D5-B22-H8,D5-B22-H9,D5-B22-H10,D5-B22-H11"
36.3299551914,32.2940802922,4,Connected,D05-B22-T03,5,22,3,"D5-B22-H12,D5-B22-H13,D5-B22-H14,D5-B22-H15,D5-B22-H16"
36.3292810597,32.2945994861,4,Connected,D05-B20-T01,5,20,1,"D5-B20-H1,D5-B20-H2,D5-B20-H3,D5-B20-H4A,D5-B20-H4B"
36.3299611602,32.2945755103,4,Connected,D05-B20-T02,5,20,2,"D5-B20-H7,D5-B20-H8,D5-B20-H9,D5-B20-H10,D5-B20-H11,D5-B20-H14"
36.3305759327,32.2944825198,4,Connected,D05-B20-T03,5,20,3,"D5-B20-H15A,D5-B20-H15B,D5-B20-H15C,D5-B20-H15D"
36.3314549823,32.2944319749,2,Connected,D05-B20-T04,5,20,4,"D5-B20-H16A,D5-B20-H16B,D5-B20-H16C"
