LONGITUDE,LATITUDE,NAME,CONNECTED,DISTRICT,NUMBER,TYPE,CAPACITY,COUNT,NGO,INSTALLBY
36.3255334838,32.2922930962,,no,10,0,OST,25,2,ACTED,ACTED
36.3280709658,32.2915142763,,no,10,0,OST,25,2,ACTED,ACTED
36.3272931215,32.2898985623,,no,10,0,OST,25,2,ACTED,ACTED
36.3248234503,32.2907303138,,no,10,0,OST,25,2,ACTED,ACTED
36.327158313,32.2895725362,,no,10,0,OST,25,2,ACTED,ACTED
36.3246754054,32.2904017756,,no,10,0,OST,25,2,ACTED,ACTED
36.3239733697,32.2888431395,,no,10,0,OST,25,2,ACTED,ACTED
36.3264613625,32.2880266589,,no,10,0,OST,25,2,ACTED,ACTED
36.3262944141,32.2876531513,,no,10,0,OST,25,2,ACTED,ACTED
36.3238160403,32.2885019898,,no,10,0,OST,25,2,ACTED,ACTED
36.325590364,32.2861556226,,no,10,0,OST,25,2,ACTED,ACTED
36.3230987007,32.286940375,,no,10,0,OST,25,2,ACTED,ACTED
36.3310115337,32.2843757173,,no,9,0,OST,25,2,ACTED,IRD
36.3309108345,32.2905465095,,no,9,0,OST,25,2,ACTED,IRD
36.3347767937,32.2892830649,,no,9,0,OST,25,2,ACTED,IRD
36.3302034502,32.2889866075,,no,9,0,OST,25,2,ACTED,IRD
36.3300729666,32.2886483405,,no,9,0,OST,25,2,ACTED,IRD
36.3333675881,32.2879537703,,no,9,0,OST,25,2,ACTED,IRD
36.333233926,32.2876139453,,no,9,0,OST,25,2,ACTED,IRD
36.3300174551,32.2868646053,,no,9,0,OST,25,2,ACTED,IRD
36.3325101372,32.2860634039,,no,9,0,OST,25,2,ACTED,IRD
36.3299170287,32.2865331774,,no,9,0,OST,25,2,ACTED,IRD
36.3323134409,32.2857524271,,no,9,0,OST,25,2,ACTED,IRD
36.3285440552,32.2851949525,,no,9,0,OST,25,2,ACTED,IRD
36.3247487261,32.3024562813,OST-03-14,yes,3,14,OST,25,1,JEN,JEN
36.3261775977,32.3014188416,NST-03-16,yes,3,16,NST,15,1,JEN,JEN
36.3244440779,32.3013182897,OST-03-11,yes,3,11,OST,25,1,JEN,JEN
36.3241118998,32.3006588697,OST-03-10,yes,3,10,OST,25,1,JEN,JEN
36.3231571863,32.3022577031,NST-03-07,yes,3,7,NST,15,1,JEN,JEN
36.3237025164,32.2997232285,OST-03-09,yes,3,9,OST,25,1,JEN,JEN
36.3264614716,32.2997928645,OST-03-17,yes,3,17,OST,25,1,JEN,JEN
36.3267033962,32.2985348372,OST-03-18,yes,3,18,OST,25,1,JEN,JEN
36.3256328327,32.2976040874,OST-04-15,yes,4,15,OST,25,1,JEN,JEN
36.3246467185,32.2980676171,NST-03-13,yes,3,13,NST,15,1,JEN,JEN
36.3244486065,32.2955553604,OST-04-12,yes,4,12,OST,25,1,JEN,JEN
36.3232159465,32.2951047521,NST-04-08,yes,4,8,NST,15,1,JEN,JEN
36.3220223641,32.2959942783,OST-04-04,yes,4,4,OST,25,1,JEN,JEN
36.3213186748,32.2973856177,NST-04-03,yes,4,3,NST,15,1,JEN,JEN
