LONGITUDE,LATITUDE,STATUS,DISTRICT,OLD_NUMBER,NEW_NUMBER
36.3319638764,32.291824739,decommissioned,6,4_3_6,6-15-CM1
36.3327095406,32.2915835956,decommissioned,6,4_3_8,6-15-CM2
36.3368780367,32.2963528561,decommissioned,6,4_4_2,6-04-CM1
36.337628685,32.2961007166,decommissioned,6,4_4_4,6-04-CM2
36.3361791266,32.294795286,decommissioned,6,4_4_6,6-08-CM1
36.3369178503,32.2945505362,decommissioned,6,4_4_8,6-08-CM2
36.3360118646,32.2944670142,decommissioned,6,4_5_2,6-10-CM1
36.336769393,32.2942261609,decommissioned,6,4_5_4,6-10-CM2
36.3353234547,32.2928984759,decommissioned,6,4_5_6,6-12-CM1
36.3360862951,32.2926455851,decommissioned,6,4_5_8,6-12-CM2
36.3359281041,32.2923222396,decommissioned,6,4_6_4,6-14-CM2
36.3341898085,32.2972550222,decommissioned,6,4_1_1,6-03-CF1
36.3333209531,32.2953630572,decommissioned,6,4_2_1,6-09-CF1
36.332482503,32.2934526062,decommissioned,6,4_3_1,6-13-CF1
36.3366789217,32.2964315793,decommissioned,6,4_4_1,6-04-CF1
36.3357801255,32.2945548382,decommissioned,6,4_5_1,6-10-CF1
36.3349357691,32.292654325,decommissioned,6,4_6_1,6-14-CF1
36.3344165986,32.2971749762,decommissioned,6,4_1_2,6-03-CM1
36.3335537919,32.2952824858,decommissioned,6,4_2_2,6-09-CM1
36.3327227851,32.293378501,decommissioned,6,4_3_2,6-13-CM1
36.3351788364,32.2925702322,decommissioned,6,4_6_2,6-14-CM1
36.3349225028,32.2970131089,decommissioned,6,4_1_3,6-03-CF2
36.3340617689,32.2951266222,decommissioned,6,4_2_3,6-09-CF2
36.3332411822,32.2932179427,decommissioned,6,4_3_3,6-13-CF2
36.3373908752,32.2961813422,decommissioned,6,4_4_3,6-04-CF2
36.3365215933,32.2943078104,decommissioned,6,4_5_3,6-10-CF2
36.3356936027,32.2924038745,decommissioned,6,4_6_3,6-14-CF2
36.335160076,32.2969319321,decommissioned,6,4_1_4,6-03-CM2
36.3342961811,32.29504528,decommissioned,6,4_2_4,6-09-CM2
36.3334765487,32.2931373236,decommissioned,6,4_3_4,6-13-CM2
36.3317354302,32.291903957,decommissioned,6,4_3_5,6-15-CF1
36.3342095665,32.2954542714,decommissioned,6,4_1_7,6-07-CF2
36.3334680754,32.2956897218,decommissioned,6,4_1_5,6-07-CF1
36.3326542804,32.2937796802,decommissioned,6,4_2_5,6-11-CF1
36.3359362759,32.2948779261,decommissioned,6,4_4_5,6-08-CF1
36.3350776208,32.2929766691,decommissioned,6,4_5_5,6-12-CF1
36.3342293324,32.2910840372,decommissioned,6,4_6_5,6-16-CF1
36.3336999181,32.295617268,decommissioned,6,4_1_6,6-07-CM1
36.3328815365,32.2937072335,decommissioned,6,4_2_6,6-11-CM1
36.3344457728,32.2910088286,decommissioned,6,4_6_6,6-16-CM1
36.3334074838,32.2935309306,decommissioned,6,4_2_7,6-11-CF2
36.332471351,32.2916634747,decommissioned,6,4_3_7,6-15-CF2
36.33668105,32.2946272233,decommissioned,6,4_4_7,6-08-CF2
36.3358661487,32.2927243276,decommissioned,6,4_5_7,6-12-CF2
36.3349715336,32.2908377852,decommissioned,6,4_6_7,6-16-CF2
36.3344433476,32.2953637272,decommissioned,6,4_1_8,6-07-CM2
36.3336466577,32.2934558633,decommissioned,6,4_2_8,6-11-CM2
36.3352039634,32.2907599987,decommissioned,6,4_6_8,6-16-CM2
36.3348224027,32.2980118228,decommissioned,6,DALAL_D6_W1,6-01-MM
36.3355532553,32.2977674838,decommissioned,6,DALAL_D6_W2,6-01-MF
36.3346190466,32.2980930356,decommissioned,6,D6-7-2-2,6-01-DF
36.3353416928,32.2978386885,decommissioned,6,D6-7-2-1,6-01-DM
36.3144022289,32.2998409589,non-existing,2,DALAL_6430_10,02-02-DM
36.3143610533,32.2997806623,non-existing,2,DALAL_6430__9,02-02-DF
36.3169317971,32.2989971242,decommissioned,2,THW_31,02-03-CM
36.3152918487,32.2971122189,decommissioned,2,THW_46,02-08-CF
36.3149125162,32.2986514304,decommissioned,2,THW_36,02-05-CF
36.3165963596,32.2926181281,non-existing,12,S1_S7_M,12-07-MM
36.3154068707,32.2914088052,non-existing,12,S1_S10_M,12-09-MM
36.3130413565,32.2959171595,non-existing,12,S1_S2_M,12-02-MM
36.3148267246,32.293963625,non-existing,12,S1_S5_M,12-04-MM
36.3146923758,32.2918527367,non-existing,12,DALAL_6430_6,12-08-DM
36.3137614575,32.2928877707,non-existing,12,DALAL_6430_7,12-06-DM
36.3156520888,32.2913929072,non-existing,12,S1_S10_F,12-09-MF
36.3129802531,32.2960732147,non-existing,12,S1_S2_F,12-02-MF
36.3163158919,32.2926302691,non-existing,12,S1_S7_F,12-07-MF
36.314340283,32.2939971439,non-existing,12,S1_S5_F,12-04-MF
36.3145932531,32.2918651581,non-existing,12,DALAL_6430_5,12-08-DF
36.3138631514,32.2928804589,non-existing,12,DALAL_6430_8,12-06-DF
36.316590733,32.2946146033,non-existing,12,S1_S3_M,12-03-MM
36.316390068,32.2946359843,non-existing,12,S1_S3_F,12-03-MF
36.3155482323,32.3015363917,non-existing,1,DALAL_6430_18,01-10-DF
36.3164889724,32.3005107379,completely damaged,1,THW_23,01-10-CM
36.3187250872,32.3030408152,completely damaged,1,THW_6,01-04-CF
36.3188240349,32.3005012113,completely damaged,1,THW_18,01-10-CF
36.3155881371,32.3016117501,non-existing,1,DALAL_6430_17,01-10-DM
36.3170200373,32.3011179584,completely damaged,1,THW_16,01-09-CF
36.3189434304,32.2904918239,decommissioned,11,THW2_2_6,11-09-CM1
