LONGITUDE,LATITUDE,NAME,NAME_SHRT,DISTRICT,COUNT,VOLUME
36.323157,32.302258,NST-03-07,NST-3-7,3,1,25
36.324647,32.298068,NST-03-13,NST-3-13,3,1,25
36.326178,32.301419,NST-03-16,NST-3-16,3,1,25
36.318892,32.295632,NST-04-01,NST-4-1,4,1,25
36.321319,32.297386,NST-04-03,NST-4-3,4,1,25
36.323216,32.295105,NST-04-08,NST-4-8,4,1,25
36.328193,32.300244,NST-05-01,NST-5-1,5,1,25
36.327286,32.297876,NST-05-02,NST-5-2,5,1,25
36.328504,32.294026,NST-05-08,NST-5-8,5,1,25
36.330676,32.300458,NST-05-09,NST-5-9,5,1,25
36.330579,32.298381,NST-05-10,NST-5-10,5,1,25
36.332244,32.299914,NST-05-13,NST-5-13,5,1,25
36.330085,32.293953,NST-05-14,NST-5-14,5,1,25
36.331939,32.295636,NST-05-16,NST-5-16,5,1,25
36.333122,32.298680,NST-05-17,NST-5-17,5,1,25
36.317946,32.293802,NST-11-01,NST-11-1,11,1,25
36.317218,32.292187,NST-11-02,NST-11-2,11,2,30
36.314640,32.296424,OST-02-06,OST-2-6,2,1,20
36.316020,32.296456,OST-02-18,OST-2-18,2,2,40
36.317216,32.296340,OST-02-25,OST-2-25,2,1,20
36.318124,32.296149,OST-02-30,OST-2-30,2,1,20
36.322562,32.299469,OST-03-05,OST-3-5,3,1,
36.323703,32.299723,OST-03-09,OST-3-9,3,1,
36.324112,32.300659,OST-03-10,OST-3-10,3,1,
36.324444,32.301318,OST-03-11,OST-3-11,3,1,
36.324749,32.302456,OST-03-14,OST-3-14,3,1,
36.326461,32.299793,OST-03-17,OST-3-17,3,1,
36.326703,32.298535,OST-03-18,OST-3-18,3,1,
36.321237,32.297319,OST-04-02,OST-4-2,4,1,
36.322022,32.295994,OST-04-04,OST-4-4,4,1,
36.322761,32.297802,OST-04-06,OST-4-6,4,1,
36.324449,32.295555,OST-04-12,OST-4-12,4,1,
36.325633,32.297604,OST-04-15,OST-4-15,4,1,
36.327914,32.296860,OST-05-03,OST-5-3,5,1,25
36.328411,32.297956,OST-05-04,OST-5-4,5,1,25
36.328891,32.298994,OST-05-05,OST-5-5,5,1,25
36.329293,32.299868,OST-05-06,OST-5-6,5,1,25
36.328385,32.295454,OST-05-07,OST-5-7,5,1,25
36.330149,32.296129,OST-05-11,OST-5-11,5,1,25
36.331504,32.299134,OST-05-12,OST-5-12,5,1,25
36.330598,32.294727,OST-05-15,OST-5-15,5,1,25
36.338820,32.293282,OST-07-01,OST-7-1,7,1,25
36.339788,32.295395,OST-07-02,OST-7-2,7,1,25
36.339324,32.294372,OST-07-03,OST-7-3,7,1,25
36.338292,32.289671,OST-07-04,OST-7-4,7,1,25
36.338786,32.290772,OST-07-05,OST-7-5,7,1,25
36.339294,32.291864,OST-07-06,OST-7-6,7,1,25
36.340488,32.288947,OST-07-07,OST-7-7,7,1,25
36.341003,32.290042,OST-07-08,OST-7-8,7,1,25
36.341497,32.291133,OST-07-09,OST-7-9,7,1,25
36.342002,32.292231,OST-07-10,OST-7-10,7,1,25
36.342506,32.293326,OST-07-11,OST-7-11,7,1,25
36.342970,32.294342,OST-07-12,OST-7-12,7,1,25
36.341577,32.289858,OST-07-13,OST-7-13,7,1,25
36.341721,32.288538,OST-07-14,OST-7-14,7,1,25
36.342715,32.290729,OST-07-15,OST-7-15,7,1,25
36.343226,32.291830,OST-07-16,OST-7-16,7,1,25
36.343640,32.292953,OST-07-17,OST-7-17,7,1,25
36.319975,32.294064,OST-11-03,OST-11-3,11,2,50
36.319245,32.292495,OST-11-04,OST-11-4,11,2,50
36.319101,32.292188,OST-11-05,OST-11-5,11,2,50
36.318426,32.290605,OST-11-06,OST-11-6,11,2,50
36.318352,32.290268,OST-11-07,OST-11-7,11,2,50
36.317620,32.288715,OST-11-08,OST-11-8,11,2,50
36.322462,32.293292,OST-11-09,OST-11-9,11,2,50
36.321772,32.291684,OST-11-10,OST-11-10,11,2,50
36.321646,32.291413,OST-11-11,OST-11-11,11,2,50
36.320947,32.289812,OST-11-12,OST-11-12,11,2,50
36.320798,32.289471,OST-11-13,OST-11-13,11,2,50
36.320085,32.287912,OST-11-14,OST-11-14,11,2,50
36.312955,32.295968,OST-12-01,OST-12-1,12,1,20
36.314571,32.293963,OST-12-02,OST-12-2,12,1,20
36.315917,32.294207,OST-12-03,OST-12-3,12,1,20
36.315533,32.291383,OST-12-04,OST-12-4,12,1,20
36.316480,32.292616,OST-12-06,OST-12-6,12,1,20
36.321293,32.301969,,,1,1,
36.320769,32.302929,,,1,2,
36.319833,32.303199,,,1,2,
36.321627,32.302697,,,1,2,
36.320780,32.302332,,,1,2,
36.319704,32.302644,,,1,2,
36.318695,32.302907,,,1,2,
36.319559,32.302420,,,1,2,
36.317893,32.302706,,,1,2,
36.320221,32.301507,,,1,2,
36.318910,32.301644,,,1,2,
36.318010,32.301700,,,1,2,
36.320844,32.300976,,,1,2,
36.319311,32.300910,,,1,2,
36.318261,32.301036,,,1,2,
36.317101,32.301035,,,1,2,
36.319591,32.300327,,,1,2,
36.318957,32.300504,,,1,2,
36.317477,32.300801,,,1,2,
36.319821,32.299862,,,1,2,
36.318877,32.300056,,,1,2,
36.317718,32.300284,,,1,2,
36.316672,32.300492,,,1,2,
36.319577,32.298245,,,2,1,
36.318570,32.298478,,,2,1,
36.317750,32.298524,,,2,1,
36.318044,32.298986,,,2,1,
36.318751,32.296821,,,2,2,
36.317458,32.296911,,,2,2,
36.315319,32.297063,,,2,2,
36.315225,32.297334,,,2,2,
36.314036,32.297469,,,2,2,
36.316662,32.296962,,,2,2,
36.314458,32.298061,,,2,2,
36.316828,32.297734,,,2,2,
36.318022,32.297778,,,2,2,
36.319079,32.297720,,,2,2,
36.314919,32.298586,,,2,2,
36.317461,32.298362,,,2,2,
36.318432,32.298295,,,2,2,
36.316134,32.298528,,,2,2,
36.316167,32.299363,,,2,2,
36.316891,32.299043,,,2,2,
36.318968,32.298822,,,2,2,
36.319853,32.299034,,,2,2,
36.318533,32.299342,,,2,2,
36.317602,32.299208,,,2,2,
36.315423,32.300120,,,2,2,
36.315801,32.298149,,,2,2,
36.324671,32.298813,,,3,1,
36.324521,32.299173,,,3,1,
36.323691,32.299145,,,3,1,
36.323577,32.299468,,,3,1,
36.322464,32.299824,,,3,1,
36.325048,32.299639,,,3,1,
36.322577,32.300061,,,3,1,
36.322932,32.300731,,,3,1,
36.324061,32.300312,,,3,1,
