septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity,house_count,house_ids
D01-B01-T01,D1-B1-T1,1,1,1,4,160,,,,,,,,6,"D01-B01-H047,D01-B01-H048,D01-B01-H049,D01-B01-H052,D01-B01-H053,D01-B01-H054"
D01-B01-T02,D1-B1-T2,1,1,2,4,160,,,,,,,,8,"D01-B01-H040,D01-B01-H041,D01-B01-H042,D01-B01-H043,D01-B01-H044,D01-B01-H045,D01-B01-H046,D01-B01-H049"
D01-B01-T03,D1-B1-T3,1,1,3,4,160,,,,,,,,7,"D01-B01-H033,D01-B01-H034,D01-B01-H035,D01-B01-H036,D01-B01-H037,D01-B01-H038,D01-B01-H039"
D01-B01-T04,D1-B1-T4,1,1,4,4,160,,,,,,,,7,"D01-B01-H023,D01-B01-H027,D01-B01-H028,D01-B01-H029,D01-B01-H030,D01-B01-H031,D01-B01-H032"
D01-B01-T05,D1-B1-T5,1,1,5,4,160,,,,,,,,7,"D01-B01-H019,D01-B01-H020,D01-B01-H021,D01-B01-H022,D01-B01-H024,D01-B01-H025,D01-B01-H026"
D01-B01-T06,D1-B1-T6,1,1,6,4,160,,,,,,,,6,"D01-B01-H013,D01-B01-H014,D01-B01-H015,D01-B01-H016,D01-B01-H017,D01-B01-H018"
D01-B01-T07,D1-B1-T7,1,1,7,4,160,,,,,,,,4,"D01-B01-H008,D01-B01-H009,D01-B01-H010,D01-B01-H012"
D01-B01-T08,D1-B1-T8,1,1,8,4,160,,,,,,,,6,"D01-B01-H001,D01-B01-H002,D01-B01-H003,D01-B01-H004,D01-B01-H006,D01-B01-H007"
D01-B02-T01,D1-B2-T1,1,2,1,4,160,,,,,,,,10,"D01-B01-H050,D01-B01-H051,D01-B02-H028,D01-B02-H029,D01-B02-H030,D01-B02-H033,D01-B02-H034,D01-B03-H022,D01-B03-H023,D01-B03-H024"
D01-B02-T02,D1-B2-T2,1,2,2,4,180,,,,,,,,7,"D01-B02-H025,D01-B02-H026,D01-B02-H036,D01-B02-H037,D01-B03-H019,D01-B03-H020,D01-B03-H021"
