longitude,latitude,septic_id,septic_capacity,steel_id,steel_capacity,houses
36.3191751593,32.3040106992,D1-B1-T1,4,,,"D1-B1-H47,D1-B1-H48,D1-B1-H49,D1-B1-H52,D1-B1-H53,D1-B1-H54"
36.3195077352,32.3039196667,D1-B1-T2,4,,,"D1-B1-H40,D1-B1-H41,D1-B1-H42,D1-B1-H43,D1-B1-H44,D1-B1-H45,D1-B1-H46,D1-B1-H49"
36.3199894478,32.3036575597,D1-B1-T3,4,,,"D1-B1-H33,D1-B1-H34,D1-B1-H35,D1-B1-H36,D1-B1-H37,D1-B1-H38,D1-B1-H39"
36.3202132257,32.3035140425,D1-B1-T4,4,,,"D1-B1-H23,D1-B1-H27,D1-B1-H28,D1-B1-H29,D1-B1-H30,D1-B1-H31,D1-B1-H32"
36.3206989282,32.3036493496,D1-B1-T5,4,,,"D1-B1-H19,D1-B1-H20,D1-B1-H21,D1-B1-H22,D1-B1-H24,D1-B1-H25,D1-B1-H26"
36.3210345643,32.3034479056,D1-B1-T6,4,,,"D1-B1-H13,D1-B1-H14,D1-B1-H15,D1-B1-H16,D1-B1-H17,D1-B1-H18"
36.3213425858,32.3033618391,D1-B1-T7,4,,,"D1-B1-H8,D1-B1-H9,D1-B1-H10,D1-B1-H12"
36.3216255012,32.3033004551,D1-B1-T8,4,,,"D1-B1-H1,D1-B1-H2,D1-B1-H3,D1-B1-H4,D1-B1-H6,D1-B1-H7"
36.318924349,32.3036926588,D1-B2-T1,4,,,"D1-B1-H50,D1-B1-H51,D1-B2-H28,D1-B2-H29,D1-B2-H30,D1-B2-H33,D1-B2-H34,D1-B3-H22,D1-B3-H23,D1-B3-H24"
36.3191408235,32.3035352851,D1-B2-T2,4,,,"D1-B2-H25,D1-B2-H26,D1-B2-H36,D1-B2-H37,D1-B3-H19,D1-B3-H20,D1-B3-H21"
36.3196884979,32.3035582766,D1-B2-T3,4,,,"D1-B2-H22,D1-B2-H23,D1-B2-H24"
36.3199313271,32.3034037004,D1-B2-T4,4,,,"D1-B2-H16,D1-B2-H17,D1-B2-H18,D1-B2-H19,D1-B2-H20,D1-B2-H21,D1-B2-H41,D1-B2-H42,D1-B2-H43,D1-B2-H44"
